signal_strength,movement_speed,encryption_match,unidentified_object,border_distance,location_risk,time_of_day,previous_incident,risk_level
67,133,0,0,55,2,2,1,Medium
83,109,1,1,245,3,0,1,Medium
41,17,0,0,213,3,1,0,Medium
100,26,1,1,472,3,1,1,Medium
54,54,0,1,307,3,1,0,Medium
86,77,1,0,204,2,2,1,Medium
52,77,0,1,66,2,2,1,Medium
97,135,1,0,419,1,2,0,Medium
31,148,0,1,463,3,1,0,Medium
31,21,1,0,349,2,0,1,Low
95,149,0,0,148,3,2,1,Medium
100,165,0,1,214,1,0,0,Medium
27,19,0,0,38,2,2,0,Low
24,123,1,1,134,2,0,0,Medium
32,68,0,0,474,1,1,1,Low
31,36,1,0,297,3,0,0,Medium
95,15,1,0,283,1,0,1,Medium
87,33,0,0,450,1,0,1,Medium
78,141,1,1,369,3,1,1,Medium
34,117,0,0,227,2,2,0,Low
35,127,0,1,493,2,1,1,Medium
28,48,1,1,380,3,0,1,Medium
24,123,0,0,179,3,0,0,Medium
91,125,1,0,36,1,0,1,High
52,118,0,1,157,1,2,0,Medium
52,152,0,0,178,2,0,0,Low
94,157,0,1,308,3,2,1,Medium
98,145,0,1,310,1,0,1,Medium
96,85,1,0,233,1,0,0,Medium
54,172,1,0,205,1,0,0,Low
58,158,0,0,420,3,2,0,Medium
37,86,1,0,450,1,0,1,Low
20,70,1,1,427,3,0,0,Medium
57,133,1,0,265,1,0,0,Medium
41,86,0,0,279,3,0,0,Medium
34,115,0,0,232,3,1,1,Medium
48,136,0,0,258,3,2,0,Medium
61,126,0,1,43,2,1,1,Medium
25,155,1,1,258,3,0,0,Medium
68,44,0,0,198,2,2,0,Medium
55,176,0,0,259,3,1,1,Medium
49,33,1,1,256,2,1,1,Medium
94,170,0,0,118,1,0,1,Medium
68,74,0,0,395,2,1,1,Medium
26,95,1,0,365,2,2,1,Low
52,140,1,0,444,1,1,0,Low
86,43,0,0,421,2,1,0,Medium
93,34,0,1,447,3,2,1,Medium
66,173,1,1,294,1,1,0,Medium
34,145,1,1,397,2,1,0,Medium
78,42,1,0,367,3,2,1,Medium
93,78,0,1,419,2,0,1,Medium
90,84,0,1,100,2,1,0,Medium
81,72,1,1,55,3,2,1,High
56,93,0,0,212,2,1,0,Medium
82,13,0,1,121,1,0,0,Medium
21,13,1,1,157,3,0,1,Medium
34,145,1,1,454,1,2,1,Medium
88,120,1,1,445,3,1,0,Medium
94,16,1,0,290,2,2,0,Medium
87,60,1,1,471,2,1,1,Medium
62,8,0,1,234,2,0,0,Medium
20,68,1,0,239,1,2,0,Low
96,1,0,0,446,1,1,1,Medium
76,61,0,1,283,3,0,0,Medium
28,115,1,1,40,1,0,0,Medium
78,35,0,1,286,2,2,0,Medium
70,87,1,0,173,2,0,0,Medium
95,170,0,0,203,1,2,1,Medium
97,67,1,0,234,1,0,0,Medium
48,70,1,0,371,2,1,1,Low
27,63,1,0,255,1,1,1,Low
48,122,1,1,448,3,2,0,Medium
90,27,1,1,114,1,1,0,High
99,176,0,0,305,1,0,1,Medium
34,57,1,0,61,3,2,0,Medium
35,141,1,1,394,2,1,0,Medium
90,68,1,0,176,2,2,0,Medium
20,148,1,1,444,2,0,1,Medium
62,111,0,0,479,1,2,0,Medium
98,136,0,1,199,2,1,0,Medium
80,87,1,0,98,1,0,1,Medium
36,16,1,1,147,1,1,0,Medium
47,78,1,0,355,2,1,0,Low
48,151,1,0,25,1,2,0,Low
31,63,0,1,147,3,1,0,Medium
33,38,0,1,361,1,1,0,Medium
52,157,1,0,272,2,2,0,Low
73,3,1,1,428,2,2,0,Medium
53,159,1,0,259,3,1,1,Medium
88,39,0,0,148,2,0,1,Medium
83,35,0,0,300,2,0,0,Medium
70,107,0,0,266,1,1,0,Medium
61,43,0,1,398,1,2,0,Medium
64,110,0,0,36,1,2,1,Medium
76,37,1,0,335,3,1,1,Medium
98,168,0,1,225,2,1,1,Medium
58,51,0,0,102,2,0,0,Medium
67,117,0,0,232,3,1,0,Medium
93,29,0,1,246,3,1,0,Medium
79,166,1,0,467,2,0,0,Medium
26,81,0,0,170,2,1,0,Low
24,46,0,1,231,3,1,1,Medium
73,177,1,0,56,3,0,1,Medium
22,10,1,0,252,3,0,0,Medium
55,60,0,1,286,2,1,1,Medium
98,13,0,1,294,2,2,1,Medium
30,153,0,0,161,2,1,1,Low
26,169,0,0,368,2,2,1,Low
87,102,1,0,485,2,0,1,Medium
42,137,1,0,87,2,1,1,Low
29,8,0,1,492,2,1,1,Medium
78,57,0,0,375,2,2,1,Medium
85,5,1,0,190,3,0,1,Medium
48,176,1,1,270,3,2,0,Medium
85,146,0,1,287,1,0,0,Medium
47,117,1,1,268,1,2,1,Medium
90,44,1,0,360,1,2,1,Medium
50,147,1,1,202,2,0,0,Medium
42,123,1,1,246,1,1,1,Medium
96,42,0,0,254,3,0,0,Medium
23,24,1,0,208,3,1,0,Medium
24,127,0,1,172,3,1,0,Medium
72,87,0,0,173,2,0,1,Medium
72,24,0,0,493,3,0,1,Medium
22,7,0,0,239,3,2,1,Medium
87,147,0,1,119,2,1,1,Medium
33,71,0,0,253,3,0,0,Medium
24,66,0,1,166,3,1,0,Medium
78,177,1,0,299,3,1,0,Medium
60,41,1,0,60,1,2,0,Medium
28,28,1,1,180,3,2,1,Medium
96,54,1,1,319,2,2,1,Medium
58,96,1,1,363,3,0,1,Medium
97,148,1,0,243,3,0,0,Medium
22,50,1,1,291,2,0,0,Medium
64,64,1,0,143,2,2,1,Medium
49,15,0,1,369,3,2,0,Medium
48,21,1,0,64,1,1,0,Low
56,78,1,1,15,3,1,1,Medium
66,128,1,0,62,2,2,1,Medium
94,149,1,0,397,3,1,0,Medium
35,34,1,0,367,3,2,1,Medium
33,155,0,0,311,3,1,1,Medium
26,99,0,1,119,3,0,1,Medium
81,58,1,0,141,1,0,0,Medium
50,140,0,0,193,1,2,0,Low
46,128,0,0,394,1,1,0,Low
80,140,1,1,225,1,2,1,Medium
73,167,1,1,205,1,1,0,Medium
34,42,1,1,441,3,0,1,Medium
32,134,0,1,105,1,1,0,Medium
75,171,0,1,346,1,2,1,Medium
43,127,1,0,135,1,1,1,Low
42,1,0,0,498,1,2,0,Low
85,139,1,1,260,1,1,1,Medium
25,15,1,0,110,3,0,1,Medium
31,151,1,0,384,1,1,0,Low
59,39,1,0,376,3,0,1,Medium
33,29,1,0,386,2,2,0,Low
56,163,0,0,274,2,0,0,Medium
79,142,0,0,492,3,0,1,Medium
76,164,1,1,307,3,1,1,Medium
66,174,1,0,178,1,1,1,Medium
79,78,1,0,485,2,2,0,Medium
84,149,1,0,210,3,1,1,Medium
79,0,1,0,72,2,0,0,Medium
75,109,1,0,156,3,0,0,Medium
72,111,0,0,369,3,0,1,Medium
38,70,1,0,207,3,0,0,Medium
27,30,1,1,413,2,0,1,Medium
70,55,1,0,61,1,2,0,Medium
87,32,1,1,43,3,2,1,High
44,122,1,1,185,1,1,1,Medium
90,27,0,1,226,1,2,1,Medium
84,6,1,1,96,2,0,1,High
100,20,1,0,292,3,2,1,Medium
47,101,0,1,34,3,1,0,Medium
54,158,1,1,135,2,1,0,Medium
83,12,0,1,172,2,1,1,Medium
26,44,0,1,269,2,2,1,Medium
49,99,1,1,178,2,0,0,Medium
32,35,0,0,70,1,2,1,Low
55,89,1,0,453,2,1,0,Low
33,70,0,1,407,2,0,1,Medium
74,124,1,0,237,3,0,1,Medium
98,122,0,1,437,2,2,0,Medium
64,63,1,0,379,1,2,0,Medium
89,180,0,0,318,3,1,0,Medium
80,79,0,1,224,1,0,1,Medium
100,118,0,1,64,1,1,0,Medium
44,32,1,1,112,2,0,1,Medium
27,149,0,1,237,2,2,1,Medium
71,145,0,0,423,2,1,0,Medium
53,81,0,0,149,2,0,0,Low
94,169,0,1,469,3,2,1,Medium
50,18,1,1,416,2,1,1,Medium
99,110,0,0,21,1,2,0,Medium
79,47,0,0,146,3,1,0,Medium
82,79,1,1,15,3,1,1,High
63,82,1,1,81,2,1,1,Medium
48,167,1,0,408,1,1,1,Low
59,154,1,1,242,1,1,1,Medium
49,13,0,1,422,2,0,1,Medium
97,75,0,0,135,3,2,1,Medium
76,111,0,0,292,1,0,0,Medium
36,146,1,1,456,3,1,0,Medium
32,52,1,0,354,2,2,0,Low
88,27,1,0,46,2,0,0,High
23,165,0,1,155,2,1,1,Medium
55,141,1,0,424,2,2,0,Low
23,177,0,1,293,1,2,1,Medium
57,154,1,0,254,3,1,1,Medium
58,71,0,0,83,1,1,0,Medium
35,11,1,1,52,3,2,0,Medium
20,176,0,1,280,1,0,0,Medium
76,129,0,0,220,1,1,1,Medium
80,163,0,1,463,1,0,0,Medium
98,169,0,1,155,2,1,1,Medium
72,15,1,0,207,3,2,0,Medium
60,96,1,1,375,1,0,0,Medium
100,168,1,0,326,2,2,0,Medium
26,65,1,1,161,3,2,0,Medium
38,167,1,1,464,2,0,1,Medium
33,73,0,0,237,1,2,1,Low
23,73,1,0,42,3,1,1,Medium
48,96,0,1,114,3,1,1,Medium
54,105,0,0,145,3,0,0,Medium
72,60,0,0,416,3,1,0,Medium
79,72,1,0,190,2,1,0,Medium
34,157,1,1,172,1,1,1,Medium
48,130,1,0,453,3,0,1,Medium
23,87,0,1,282,2,2,0,Medium
45,162,0,1,105,3,0,1,Medium
94,41,0,0,120,1,2,1,Medium
34,124,1,1,72,3,2,0,Medium
39,114,0,1,393,2,0,1,Medium
91,163,0,0,337,1,1,0,Medium
28,20,0,1,419,1,1,0,Medium
27,58,1,0,387,1,1,0,Low
57,61,1,0,361,2,0,1,Medium
75,87,0,1,216,3,2,0,Medium
62,116,1,0,406,1,0,1,Medium
42,52,0,0,497,1,1,0,Low
28,166,0,0,193,1,1,1,Low
50,178,0,0,232,1,2,1,Low
21,137,0,0,295,1,1,1,Low
72,28,0,0,235,3,1,1,Medium
